Topall,rank
pspC,1112
pspE,1113
pspF,1114
psuG,1115
psuT,1116
pta,1117
ptsG,1118
ptsH,1119
ptsI,1120
purB,1121
purR,1122
purT,1123
putA,1124
puuC,1125
puuE,1126
puuP,1127
puuR,1128
pxpA,1129
pxpB,1130
pxpC,1131
pyrD,1132
qorA,1133
qorB,1134
queC,1135
queE,1136
queF,1137
quuQ,1138
radA,1139
raiA,1140
rapZ,1141
rarA,1142
rayT,1143
rbbA,1144
rbsA,1145
rbsB,1146
rbsK,1147
rcbA,1148
rclA,1149
recG,1150
recN,1151
recO,1152
relB,1153
relE,1154
renD,1155
rep,1156
rfaB,1157
rfaF,1158
rfaL,1159
rfaQ,1160
rfbB,1161
rfbC,1162
rhaR,1163
rhaS,1164
rhlB,1165
rhlE,1166
rhmD,1167
rhmR,1168
rhsA,1169
rhsB,1170
rhsC,1171
rhsD,1172
ribA,1173
ribB,1174
ribC,1175
ribF,1176
rihC,1177
rimJ,1178
rlhA,1179
rlmD,1180
rlmH,1181
rlmJ,1182
rluA,1183
rluD,1184
rnb,1185
rnc,1186
rnk,1187
rnlA,1188
rnt,1189
rodZ,1190
rpe,1191
rpiB,1192
rplD,1193
rplI,1194
rplM,1195
rplU,1196
rplV,1197
rpmC,1198
rpmD,1199
rpmF,1200
rpmH,1201
rpnA,1202
rpoE,1203
rpsD,1204
rpsG,1205
rpsQ,1206
rsd,1207
rseA,1208
rseB,1209
rseP,1210
rsfS,1211
rsmC,1212
rsmD,1213
rsmG,1214
rsmH,1215
rsmI,1216
rssA,1217
rstA,1218
rstB,1219
rsxG,1220
ruvC,1221
sad,1222
sapF,1223
sbcC,1224
sbcD,1225
sbp,1226
scpC,1227
sdhA,1228
secD,1229
selD,1230
seqA,1231
serC,1232
sfsA,1233
sgbH,1234
sgcE,1235
smg,1236
speA,1237
speF,1238
sra,1239
srlD,1240
srmB,1241
sseA,1242
ssnA,1243
ssuD,1244
ssuE,1245
stfQ,1246
stfR,1247
sufB,1248
sufE,1249
sufS,1250
surA,1251
surE,1252
sutR,1253
syd,1254
tabA,1255
tag,1256
tamB,1257
tap,1258
tas,1259
tdcB,1260
tdcC,1261
tdcD,1262
