btuF	-0.72	-0.78	-0.781	-0.33	-0.576	-0.779	-0.617	-0.408	-0.001
btuR	0.509	0.538	0.511	0.624	0.67	0.601	0.711	0.662	-0.14
cadA	-0.281	-0.333	-0.192	-0.331	-0.275	0.013	-0.104	-0.185	0.151
cadC	-0.103	0.035	0.025	-0.238	0.375	0.031	-0.007	-0.082	-0.501
caiA	-0.82	-0.952	-0.634	-0.657	-0.54	-0.565	-0.519	-1.141	-0.689
caiB	-1.093	-0.153	-1.646	-1.059	-0.265	-0.55	-0.957	-0.778	-0.754
caiC	-1.193	-1.407	-1.169	-1.372	-0.982	-0.669	-0.969	-0.911	-0.502
caiD	-0.012	0.281	0.345	-0.037	0.592	0.428	0.17	0.184	-0.245
caiE	0.402	0.358	0.583	0.413	1.361	0.915	0.613	0.656	0.992
caiF	1.003	1.135	1.06	0.799	1.659	1	0.755	0.96	0.605
caiT	-0.175	-0.169	-0.021	-0.123	0.267	0.081	0.012	-0.134	-0.358
can	1.291	1.235	1.344	1.228	1.328	1.071	1.486	1.372	0.181
carA	3.124	3.099	2.719	2.96	2.917	2.606	3.036	2.976	1.655
carB	1.766	1.88	1.677	1.709	2.388	1.676	1.616	1.863	1.629
casA	-0.928	-0.679	-1.034	-0.852	-1.102	-0.784	-0.981	-1.02	-0.105
casB	-0.966	-0.276	-0.693	-0.84	-0.749	0.369	-0.566	-0.702	-0.126
casC	-0.555	-0.642	-0.654	-0.252	-0.389	-0.611	-0.537	-0.465	0.142
casD	-0.548	-0.603	-0.522	-0.487	-0.279	-0.221	-0.424	-0.339	0.121
casE	-0.165	-0.362	-0.093	-0.232	0.044	0.067	-0.011	-0.138	0.014
cbdA	0.195	0.14	0.311	0.165	-0.035	0.402	0.355	0.264	-0.339
cbdB	-0.132	-0.355	-0.131	-0.009	-0.155	-0.125	-0.149	0.146	-0.348
cbeA	-0.469	-0.803	-0.329	-0.293	-0.207	-0.105	-0.336	-0.108	0.057
cbl	0.081	-0.104	-0.425	-0.345	-0.162	0.415	-0.276	-0.256	0.072
cbpA	-0.034	-0.009	0.048	0.312	0.089	0.197	0.206	0.293	-0.535
cbpM	-0.936	-0.653	-0.631	-1.142	-0.371	-0.304	-0.463	-0.573	0.055
cbrB	-0.033	-0.295	-0.356	-0.263	-0.157	-0.134	-0.167	-0.351	-0.127
cbrC	-0.685	-0.87	-0.818	-0.63	-0.625	-0.523	-0.738	-0.83	-0.304
cca	0.246	0.319	0.34	0.397	0.396	0.074	0.399	0.518	-0.353
ccmA	0.62	0.54	0.714	0.284	0.708	0.347	0.531	0.399	0.125
