Topall,rank
YEL022W,741
YNL292W,742
YCR052W,743
YMR033W,744
YLR274W,745
YAR002C-A,746
YLR063W,747
YBL014C,748
YMR123W,749
YML125C,750
YGL048C,751
YPL047W,752
YKL139W,753
YPL212C,754
YER156C,755
YDR110W,756
YGR130C,757
YGR276C,758
YOR280C,759
YKL150W,760
YDR293C,761
YPR113W,762
YGR140W,763
YHR094C,764
YBL090W,765
YLR052W,766
YML055W,767
YDR300C,768
YLR442C,769
YBL046W,770
YOR260W,771
YOL021C,772
YJR003C,773
YPR168W,774
YER092W,775
YOR168W,776
YDL029W,777
YJR064W,778
YER183C,779
YOR080W,780
YJR124C,781
YAL007C,782
YML067C,783
YML016C,784
YER026C,785
YFR009W,786
YPL186C,787
YGR161C,788
YBL023C,789
YNL215W,790
YDR508C,791
YKR001C,792
YBL068W,793
YIL016W,794
YEL006W,795
YDL084W,796
YKL145W,797
YHR049W,798
YJL192C,799
YKL210W,800
YLR346C,801
YGL158W,802
YGR240C,803
YBR109C,804
YPL153C,805
YNL330C,806
YHR039C,807
YGR234W,808
YJR121W,809
YJL117W,810
YFL062W,811
YOR173W,812
YOR006C,813
YLR293C,814
YLR418C,815
YLR270W,816
YNL244C,817
YOR016C,818
YHR143W-A,819
YHR123W,820
YIL125W,821
YPL128C,822
YMR292W,823
YER058W,824
YOR335C,825
YLR062C,826
YOR258W,827
YPL227C,828
YAL044C,829
YLL028W,830
YOR187W,831
YLR258W,832
YJL095W,833
YNL186W,834
YOL125W,835
YBR159W,836
YLR110C,837
YIL053W,838
YMR043W,839
YER002W,840
YBR036C,841
YML124C,842
YIL011W,843
YFR014C,844
YIL107C,845
YDR331W,846
YJL196C,847
YDR388W,848
YML043C,849
YDR497C,850
YLR056W,851
YPL142C,852
YDR341C,853
YDL056W,854
YLR350W,855
YNL164C,856
YMR058W,857
YLR058C,858
YDL021W,859
YOR146W,860
YNL140C,861
YOR039W,862
YGL206C,863
YDR050C,864
YPL265W,865
YHL048W,866
YDR237W,867
YGL225W,868
YDR096W,869
YJR077C,870
YEL032W,871
YJR152W,872
YLR147C,873
YBL008W,874
YPR034W,875
YLR430W,876
YPR156C,877
YPL011C,878
YLR467W,879
YJL198W,880
YML081W,881
YER043C,882
YKL208W,883
YCR093W,884
YPR125W,885
YFR013W,886
YGR092W,887
YHR142W,888
YGR056W,889
YLR149C,890
YBR068C,891
YFL014W,892
YOR159C,893
YML128C,894
YOR210W,895
